i,a,f(a),b,f(b),x* = (a+b)/2,f(x*),|b - a| < e
0,0,-1.0,1,0.8414709848078965,0.5,0.229425538604203,False
1,0,-1.0,0.5,0.229425538604203,0.25,-0.31509604074547704,False
2,0.25,-0.31509604074547704,0.5,0.229425538604203,0.375,-0.02435247091395243,False
3,0.375,-0.02435247091395243,0.5,0.229425538604203,0.4375,0.10727000720393803,False
4,0.375,-0.02435247091395243,0.4375,0.10727000720393803,0.40625,0.042628267740934256,False
5,0.375,-0.02435247091395243,0.40625,0.042628267740934256,0.390625,0.00942851836739017,False
6,0.375,-0.02435247091395243,0.390625,0.00942851836739017,0.3828125,-0.00738954191755703,False
7,0.3828125,-0.00738954191755703,0.390625,0.00942851836739017,0.38671875,0.0010376244480342356,False
8,0.3828125,-0.00738954191755703,0.38671875,0.0010376244480342356,0.384765625,-0.0031714281298482194,False
9,0.384765625,-0.0031714281298482194,0.38671875,0.0010376244480342356,0.3857421875,-0.0010657687581063224,False
10,0.3857421875,-0.0010657687581063224,0.38671875,0.0010376244480342356,0.38623046875,-1.3788830408034691e-05,False
11,0.38623046875,-1.3788830408034691e-05,0.38671875,0.0010376244480342356,0.386474609375,0.0005119886467099266,False
12,0.38623046875,-1.3788830408034691e-05,0.386474609375,0.0005119886467099266,0.3863525390625,0.0002491176167827014,False
13,0.38623046875,-1.3788830408034691e-05,0.3863525390625,0.0002491176167827014,0.38629150390625,0.00011766882023994674,False
14,0.38623046875,-1.3788830408034691e-05,0.38629150390625,0.00011766882023994674,0.386260986328125,5.1941101665953227e-05,True
